SSN,LotID,PanelID,Product,Config,ProcessDate,EqpID,Chamber,Slot,Recipe,Anneal_Temp,O2_Flow,Etch_Time,Pressure,RF_Power,Gas_Ratio,Thickness_Pre,CD_Pre
SSN2026000021,LOT0032,PNL00498,OLED_B,CFG_HIGH,2026-01-04,EQP05,CH2,8,RCP_C,486.1,87.38,43.04,1.5192,443.41,1.1799,699.74,51.961
SSN2026000022,LOT0016,PNL00134,OLED_C,CFG_STD,2026-03-02,EQP01,CH4,9,RCP_A,504.05,87.14,73.32,1.7094,422.07,0.9002,754.97,51.548
SSN2026000023,LOT0079,PNL00106,OLED_B,CFG_STD,2026-03-08,EQP02,CH4,7,RCP_C,522.62,94.33,61.01,1.4374,405.54,1.1328,736.7,53.639
SSN2026000024,LOT0067,PNL00422,OLED_B,CFG_STD,2026-02-28,EQP02,CH3,4,RCP_C,509.87,79.06,61.89,1.5361,381.33,1.1624,734.49,50.393
SSN2026000025,LOT0055,PNL00034,OLED_A,CFG_STD,2026-03-01,EQP05,CH3,1,RCP_C,539.68,92.68,65.98,1.5754,399.08,1.0913,691.12,50.554
SSN2026000026,LOT0035,PNL00223,OLED_A,CFG_STD,2026-03-01,EQP02,CH3,9,RCP_A,493.27,73.65,62.56,1.4964,490.75,1.0036,675.5,49.14
SSN2026000027,LOT0070,PNL00097,OLED_B,CFG_LOW,2026-01-30,EQP02,CH3,9,RCP_A,489.16,73.35,64.11,1.6578,420.46,1.1442,736.32,52.331
SSN2026000028,LOT0047,PNL00015,OLED_A,CFG_HIGH,2026-01-02,EQP05,CH1,6,RCP_C,519.59,88.02,57.67,1.6143,473.72,1.0043,731.71,50.695
SSN2026000029,LOT0038,PNL00643,OLED_A,CFG_STD,2026-03-31,EQP05,CH3,9,RCP_A,485.87,69.96,53.24,1.6856,488.48,0.9735,713.29,49.862
SSN2026000030,LOT0039,PNL00063,OLED_A,CFG_HIGH,2026-01-19,EQP01,CH4,10,RCP_A,501.85,86.58,61.54,1.575,455.58,0.9989,701.11,50.043
SSN2026000031,LOT0020,PNL00007,OLED_A,CFG_STD,2026-03-16,EQP05,CH2,7,RCP_A,503.95,82.81,67.87,1.8032,444.55,0.9844,674.87,52.521
SSN2026000032,LOT0008,PNL00653,OLED_B,CFG_STD,2026-02-18,EQP04,CH3,1,RCP_A,521.58,90.57,56.44,1.4462,459.66,0.9543,730.82,49.404
SSN2026000033,LOT0048,PNL00132,OLED_B,CFG_STD,2026-02-18,EQP05,CH2,11,RCP_A,514.83,81.52,56.0,1.7749,440.42,1.1188,738.47,49.573
SSN2026000034,LOT0076,PNL00571,OLED_A,CFG_LOW,2026-01-02,EQP01,CH2,6,RCP_C,507.31,82.45,66.72,1.5622,497.14,0.9681,693.7,53.203
SSN2026000035,LOT0006,PNL00022,OLED_B,CFG_HIGH,2026-03-31,EQP01,CH1,9,RCP_C,493.56,86.07,57.49,1.6308,520.68,1.0276,691.7,51.184
SSN2026000036,LOT0073,PNL00108,OLED_B,CFG_HIGH,2026-02-17,EQP02,CH3,11,RCP_C,519.44,76.7,57.74,1.4316,505.74,0.9145,739.79,53.315
SSN2026000037,LOT0071,PNL00078,OLED_B,CFG_STD,2026-03-16,EQP05,CH4,5,RCP_A,569.41,76.35,57.95,1.6213,379.7,1.0325,694.6,50.817
SSN2026000038,LOT0024,PNL00494,OLED_C,CFG_STD,2026-03-12,EQP03,CH1,8,RCP_A,516.06,85.8,59.64,1.6912,439.7,0.9375,752.7,51.498
SSN2026000039,LOT0054,PNL00434,OLED_A,CFG_HIGH,2026-01-13,EQP04,CH2,1,RCP_A,506.59,81.77,51.34,1.3895,455.15,0.9356,707.38,51.797
SSN2026000040,LOT0015,PNL00333,OLED_C,CFG_STD,2026-03-27,EQP02,CH1,11,RCP_A,484.23,78.74,57.03,1.5004,471.21,1.0213,700.72,54.136
SSN2026000041,LOT0065,PNL00169,OLED_A,CFG_LOW,2026-02-23,EQP02,CH1,1,RCP_A,494.8,81.34,61.27,1.263,394.54,1.1146,711.08,53.981
SSN2026000042,LOT0060,PNL00063,OLED_A,CFG_HIGH,2026-01-17,EQP05,CH4,7,RCP_B,509.58,94.76,61.23,1.5786,393.98,1.0652,700.72,53.691
SSN2026000043,LOT0031,PNL00398,OLED_A,CFG_STD,2026-02-22,EQP03,CH2,5,RCP_C,,78.46,66.37,1.3721,500.74,1.0707,737.03,50.305
SSN2026000044,LOT0006,PNL00162,OLED_B,CFG_HIGH,2026-02-25,EQP04,CH2,1,RCP_B,512.74,,70.12,1.5739,435.43,1.0196,731.26,49.625
SSN2026000045,LOT0083,PNL00413,OLED_A,CFG_LOW,2026-02-28,EQP04,CH2,6,RCP_A,533.45,68.34,68.32,1.8708,402.94,1.0031,736.11,52.946
SSN2026000046,LOT0038,PNL00481,OLED_A,CFG_STD,2026-01-29,EQP01,CH4,12,RCP_A,524.95,81.66,65.03,1.7261,416.37,1.0933,714.43,54.116
SSN2026000047,LOT0076,PNL00594,OLED_B,CFG_HIGH,2026-03-26,EQP05,CH1,3,RCP_A,502.46,87.26,59.18,1.3473,468.67,0.9849,699.05,53.709
SSN2026000048,LOT0058,PNL00346,OLED_A,CFG_LOW,2026-01-22,EQP05,CH3,4,RCP_A,485.67,88.69,56.57,1.5867,426.21,1.0968,709.78,51.525
SSN2026000049,LOT0067,PNL00004,OLED_A,CFG_STD,2026-02-14,EQP04,CH2,3,RCP_B,534.4,82.87,60.1,1.6959,463.46,1.1289,699.78,52.883
SSN2026000050,LOT0065,PNL00197,OLED_A,CFG_LOW,2026-03-17,EQP03,CH1,2,RCP_A,504.22,89.65,63.22,1.4795,420.74,0.9627,745.2,52.916
SSN2026000051,LOT0017,PNL00597,OLED_A,CFG_STD,2026-01-07,EQP03,CH3,3,RCP_B,485.38,87.85,64.52,1.6214,393.95,0.9744,734.05,51.783
SSN2026000052,LOT0031,PNL00373,OLED_A,CFG_HIGH,2026-02-06,EQP02,CH1,7,RCP_C,511.4,90.9,63.43,1.5031,504.85,0.9863,707.8,51.866
SSN2026000053,LOT0040,PNL00433,OLED_A,CFG_HIGH,2026-02-13,EQP04,CH3,10,RCP_A,521.41,89.87,59.33,1.3584,468.94,0.9126,687.76,51.687
SSN2026000054,LOT0043,PNL00321,OLED_A,CFG_HIGH,2026-03-11,EQP02,CH1,9,RCP_A,466.19,94.56,64.33,1.3962,443.32,0.9924,746.98,50.003
SSN2026000055,LOT0004,PNL00114,OLED_B,CFG_STD,2026-03-12,EQP01,CH3,10,RCP_A,491.81,80.64,66.93,1.5407,436.75,1.1341,713.28,50.197
SSN2026000056,LOT0047,PNL00627,OLED_C,CFG_HIGH,2026-03-13,EQP01,CH3,9,RCP_A,503.23,71.38,64.84,1.5319,506.27,0.9464,706.88,50.167
SSN2026000057,LOT0014,PNL00541,OLED_B,CFG_STD,2026-02-02,EQP03,CH3,5,RCP_B,524.75,87.31,,1.515,475.7,1.136,747.19,48.461
SSN2026000058,LOT0064,PNL00696,OLED_B,CFG_STD,2026-02-14,EQP05,CH1,11,RCP_C,491.75,88.24,55.41,1.3747,495.14,0.9953,697.76,51.771
SSN2026000059,LOT0059,PNL00598,OLED_C,CFG_STD,2026-01-03,EQP04,CH3,3,RCP_C,486.69,94.56,55.28,1.4592,434.57,1.1991,702.35,51.423
SSN2026000060,LOT0079,PNL00204,OLED_C,CFG_HIGH,2026-03-16,EQP05,CH4,9,RCP_B,524.63,92.25,56.25,1.7063,456.77,0.9755,704.46,52.948
SSN2026000061,LOT0064,PNL00178,OLED_B,CFG_STD,2026-01-28,EQP04,CH1,2,RCP_A,497.51,97.56,61.41,,469.08,1.0185,678.4,53.895
SSN2026000062,LOT0032,PNL00174,OLED_C,CFG_STD,2026-02-12,EQP05,CH2,10,RCP_A,513.67,86.96,62.86,1.7147,435.75,0.9572,717.58,54.016
SSN2026000063,LOT0083,PNL00643,OLED_C,CFG_LOW,2026-03-03,EQP04,CH4,2,RCP_A,487.22,83.83,52.22,1.4365,451.66,0.975,691.7,54.195
SSN2026000064,LOT0035,PNL00390,OLED_B,CFG_STD,2026-03-11,EQP05,CH1,3,RCP_A,483.36,70.92,57.23,1.5432,434.57,1.1371,696.3,50.062
SSN2026000065,LOT0028,PNL00318,OLED_B,CFG_STD,2026-01-08,EQP03,CH3,5,RCP_C,512.08,84.46,61.34,1.4275,468.97,1.068,693.09,48.779
SSN2026000066,LOT0077,PNL00677,OLED_A,CFG_STD,2026-03-11,EQP01,CH3,9,RCP_B,517.04,77.58,55.05,1.6706,408.75,1.1123,695.91,53.268
SSN2026000067,LOT0032,PNL00422,OLED_A,CFG_STD,2026-02-03,EQP02,CH1,1,RCP_A,519.76,83.69,62.39,1.4262,475.02,0.9248,689.87,54.126
SSN2026000068,LOT0007,PNL00636,OLED_B,CFG_HIGH,2026-02-07,EQP05,CH3,4,RCP_A,496.48,82.44,58.31,1.7513,465.87,1.0824,715.93,54.456
SSN2026000069,LOT0040,PNL00689,OLED_B,CFG_STD,2026-01-12,EQP04,CH3,5,RCP_A,492.28,85.77,56.02,1.3171,447.88,0.9523,706.27,52.421
SSN2026000070,LOT0068,PNL00056,OLED_A,CFG_STD,2026-03-06,EQP01,CH2,9,RCP_C,521.77,81.22,60.29,1.6759,470.73,0.923,711.15,47.706
SSN2026000071,LOT0017,PNL00253,OLED_B,CFG_LOW,2026-02-12,EQP01,CH4,12,RCP_A,480.63,89.48,62.16,1.5308,442.23,1.0491,766.49,52.195
SSN2026000072,LOT0040,PNL00514,OLED_B,CFG_HIGH,2026-01-10,EQP04,CH1,8,RCP_A,525.02,60.21,55.33,1.5863,431.55,1.0483,706.27,52.555
SSN2026000073,LOT0012,PNL00569,OLED_C,CFG_HIGH,2026-01-13,EQP05,CH2,7,RCP_A,526.13,83.52,58.67,1.6801,474.03,1.0343,724.52,53.879
SSN2026000074,LOT0059,PNL00104,OLED_A,CFG_LOW,2026-03-06,EQP04,CH4,5,RCP_C,513.76,91.62,62.57,1.5729,475.55,1.0874,727.25,54.216
SSN2026000075,LOT0041,PNL00223,OLED_A,CFG_LOW,2026-01-10,EQP05,CH1,10,RCP_B,502.0,96.96,55.81,1.5124,437.25,1.0999,708.49,53.228
SSN2026000076,LOT0029,PNL00384,OLED_B,CFG_STD,2026-02-16,EQP01,CH4,2,RCP_B,499.94,87.86,50.88,1.672,434.24,1.1476,716.57,50.384
SSN2026000077,LOT0020,PNL00559,OLED_C,CFG_HIGH,2026-03-04,EQP05,CH1,2,RCP_A,501.64,95.48,51.55,1.7441,448.6,0.9348,710.5,49.545
SSN2026000078,LOT0048,PNL00079,OLED_C,CFG_HIGH,2026-03-24,EQP01,CH2,3,RCP_A,484.28,83.35,57.7,1.4135,435.68,1.1502,714.86,52.515
SSN2026000079,LOT0057,PNL00420,OLED_C,CFG_STD,2026-01-15,EQP05,CH1,4,RCP_C,484.61,82.02,52.75,1.7242,508.38,1.1806,695.92,49.994
SSN2026000080,LOT0080,PNL00208,OLED_C,CFG_STD,2026-01-27,EQP05,CH3,6,,515.32,86.24,58.09,1.5663,466.08,1.0007,698.14,54.303
SSN2026000081,LOT0038,PNL00152,OLED_A,CFG_STD,2026-01-14,EQP03,CH4,12,RCP_A,515.39,81.97,69.16,1.468,455.51,0.8965,710.41,48.261
SSN2026000082,LOT0014,PNL00361,OLED_A,CFG_HIGH,2026-03-21,EQP03,CH4,8,RCP_B,496.21,75.74,52.42,1.4928,422.35,0.9193,662.67,52.577
SSN2026000083,LOT0071,PNL00290,OLED_A,CFG_HIGH,2026-02-23,EQP03,CH4,5,RCP_A,515.82,77.88,58.45,1.4932,480.86,0.9931,745.91,
SSN2026000084,LOT0054,PNL00445,OLED_B,CFG_HIGH,2026-03-30,EQP03,CH3,3,RCP_A,512.27,73.1,71.73,1.2854,433.59,1.1911,761.86,51.107
SSN2026000085,LOT0060,PNL00223,OLED_C,CFG_STD,2026-01-04,EQP05,CH3,8,RCP_C,524.16,86.23,62.24,1.4202,432.15,1.0314,714.09,49.742
SSN2026000086,LOT0009,PNL00576,OLED_A,CFG_STD,2026-03-05,EQP02,CH2,4,RCP_B,522.11,82.09,57.98,1.5684,482.04,0.9806,725.97,47.583
SSN2026000087,LOT0027,PNL00055,OLED_B,CFG_STD,2026-01-03,EQP02,CH4,12,RCP_A,521.94,79.12,59.14,1.3911,468.56,0.9752,735.95,50.49
SSN2026000088,LOT0066,PNL00603,OLED_A,CFG_STD,2026-01-10,EQP05,CH3,6,RCP_A,512.63,77.47,62.36,1.6097,367.38,0.9242,678.21,50.524
SSN2026000089,LOT0071,PNL00021,OLED_A,CFG_LOW,2026-02-08,EQP05,CH4,7,RCP_B,528.68,86.04,69.33,1.5737,449.48,1.1,732.28,53.612
SSN2026000090,LOT0037,PNL00515,OLED_A,CFG_LOW,2026-02-03,EQP03,CH1,11,RCP_A,484.41,88.24,57.08,1.4437,459.39,1.0226,699.77,50.013
SSN2026000091,LOT0069,PNL00243,OLED_A,CFG_LOW,2026-02-02,EQP02,CH2,4,RCP_A,503.05,72.96,55.83,1.481,443.11,1.198,764.98,52.36
SSN2026000092,LOT0072,PNL00268,OLED_C,CFG_LOW,2026-01-07,EQP05,CH3,6,RCP_B,512.38,71.7,52.42,1.6426,460.61,1.0803,705.48,49.045
SSN2026000093,LOT0033,PNL00014,OLED_A,CFG_LOW,2026-02-19,EQP05,CH1,7,RCP_B,509.1,89.64,60.57,1.6088,391.66,1.0964,731.8,52.412
SSN2026000094,LOT0077,PNL00491,OLED_C,CFG_STD,2026-01-31,EQP02,CH1,4,RCP_C,507.1,71.0,52.27,1.3859,355.91,1.0106,705.72,47.248
SSN2026000095,LOT0025,PNL00116,OLED_B,CFG_STD,2026-03-31,EQP03,CH4,1,RCP_A,515.15,86.38,57.45,1.5351,420.86,0.9427,762.72,55.481
SSN2026000096,LOT0021,PNL00461,OLED_A,CFG_STD,2026-03-13,EQP03,CH2,4,RCP_A,511.28,94.94,55.0,1.5139,464.88,0.9601,697.7,51.232
SSN2026000097,LOT0059,PNL00507,OLED_A,CFG_STD,2026-02-09,EQP05,CH1,2,RCP_B,510.17,94.95,65.91,1.4633,342.13,0.9205,737.96,46.19
SSN2026000098,LOT0055,PNL00591,OLED_C,CFG_STD,2026-03-10,EQP04,CH2,9,RCP_B,501.23,87.9,57.2,1.5654,425.48,1.1028,725.04,50.136
SSN2026000099,LOT0012,PNL00495,OLED_A,CFG_STD,2026-02-21,EQP03,CH2,1,RCP_A,522.55,87.67,62.18,1.5895,387.7,0.9992,719.7,49.836
SSN2026000100,LOT0071,PNL00211,OLED_C,CFG_LOW,2026-02-14,EQP05,CH3,4,RCP_B,518.6,100.02,51.18,1.6687,446.51,1.1062,715.5,50.254
SSN2026000101,LOT0017,PNL00517,OLED_A,CFG_STD,2026-03-24,EQP04,CH4,11,RCP_A,488.7,63.32,,1.4924,523.53,1.0409,693.99,50.807
SSN2026000102,LOT0069,PNL00578,OLED_B,CFG_LOW,2026-02-22,EQP03,CH4,7,RCP_C,496.9,78.29,53.38,1.5512,447.4,1.0066,647.93,50.241
SSN2026000103,LOT0001,PNL00222,OLED_C,CFG_HIGH,2026-02-13,EQP05,CH3,9,RCP_C,472.11,88.79,57.66,1.3524,451.24,0.9364,735.79,49.949
SSN2026000104,LOT0068,PNL00087,OLED_A,CFG_HIGH,2026-02-20,EQP03,CH3,9,RCP_A,505.57,79.3,96.16,1.4061,484.37,1.0541,698.27,49.299
SSN2026000105,LOT0067,PNL00623,OLED_A,CFG_HIGH,2026-03-12,EQP03,CH2,4,RCP_C,496.83,91.92,65.13,1.4398,455.75,1.0125,738.07,53.061
SSN2026000106,LOT0067,PNL00104,OLED_C,CFG_STD,2026-03-08,EQP02,CH4,8,RCP_C,490.81,81.69,59.29,1.6497,447.48,1.1022,718.44,53.782
SSN2026000107,LOT0057,PNL00416,OLED_A,CFG_HIGH,2026-02-19,EQP02,CH1,3,RCP_A,530.35,83.05,77.59,1.5396,487.43,0.9728,738.81,51.016
SSN2026000108,LOT0041,PNL00166,OLED_A,CFG_STD,2026-01-16,EQP02,CH1,8,RCP_A,486.5,79.8,54.97,1.487,471.52,1.0793,729.25,51.466
SSN2026000109,LOT0060,PNL00089,OLED_A,CFG_LOW,2026-02-27,EQP01,CH4,9,RCP_B,524.3,77.82,66.41,1.7853,465.1,1.1613,650.85,49.36
SSN2026000110,LOT0024,PNL00543,OLED_A,CFG_STD,2026-02-08,EQP04,CH4,11,RCP_A,539.99,77.62,51.57,1.4856,450.14,1.0518,724.76,51.635
SSN2026000111,LOT0067,PNL00101,OLED_B,CFG_STD,2026-03-25,EQP03,CH2,12,RCP_A,522.24,84.17,58.66,1.7882,442.89,1.0928,701.75,51.937
SSN2026000112,LOT0048,PNL00469,OLED_B,CFG_HIGH,2026-03-23,EQP05,CH3,1,RCP_A,504.5,75.8,52.59,1.4586,487.1,1.0758,737.96,51.083
SSN2026000113,LOT0040,PNL00485,OLED_A,CFG_HIGH,2026-01-01,EQP04,CH2,4,RCP_C,481.85,89.63,61.42,1.3486,443.22,1.1818,724.19,52.253
SSN2026000114,LOT0043,PNL00043,OLED_C,CFG_STD,2026-03-31,EQP01,CH2,7,RCP_A,483.21,87.23,60.31,1.5,498.09,1.0597,724.47,52.087
SSN2026000115,LOT0049,PNL00121,OLED_A,CFG_HIGH,2026-03-23,EQP04,CH2,4,RCP_B,506.42,90.8,58.31,1.5701,418.35,1.086,703.47,49.497
SSN2026000116,LOT0004,PNL00556,OLED_A,CFG_STD,2026-03-23,EQP01,CH1,8,RCP_A,494.01,72.97,66.01,1.4231,505.18,1.0271,688.1,53.767
SSN2026000117,LOT0012,PNL00355,OLED_B,CFG_HIGH,2026-02-14,EQP01,CH3,11,RCP_A,493.49,68.4,56.88,1.8322,471.52,0.968,699.61,51.105
SSN2026000118,LOT0021,PNL00085,OLED_C,CFG_STD,2026-01-25,EQP04,CH2,4,RCP_C,494.78,81.97,61.8,1.5082,421.1,0.9333,666.8,54.684
SSN2026000119,LOT0010,PNL00694,OLED_A,CFG_STD,2026-02-24,EQP01,CH2,11,RCP_A,503.36,105.19,64.51,1.5757,472.81,1.1314,695.83,52.299
SSN2026000120,LOT0038,PNL00186,OLED_A,CFG_STD,2026-03-21,EQP03,CH1,11,RCP_A,,92.13,51.84,1.4646,432.24,0.9493,674.86,55.245
SSN2026000121,LOT0057,PNL00003,OLED_B,CFG_STD,2026-02-10,EQP05,CH4,11,RCP_A,485.2,77.56,55.88,1.4507,456.17,1.0897,675.49,53.733
SSN2026000122,LOT0056,PNL00646,OLED_C,CFG_STD,2026-03-30,EQP02,CH3,1,RCP_B,502.08,85.4,60.3,1.7231,437.97,1.0633,712.8,51.932
SSN2026000123,LOT0041,PNL00012,OLED_A,CFG_STD,2026-01-24,EQP04,CH4,4,RCP_A,502.45,87.82,63.47,1.3189,450.35,1.1034,722.82,50.126
SSN2026000124,LOT0073,PNL00387,OLED_A,CFG_STD,2026-03-18,EQP02,,2,RCP_A,501.87,71.05,67.82,1.3829,487.95,0.9888,709.24,50.167
SSN2026000125,LOT0049,PNL00695,OLED_B,CFG_STD,2026-01-06,EQP01,CH3,2,RCP_A,534.38,92.96,58.81,1.4903,473.15,0.9667,698.03,52.513
SSN2026000126,LOT0007,PNL00404,OLED_A,CFG_STD,2026-03-17,EQP01,CH4,1,RCP_A,508.72,80.66,58.26,1.6821,415.61,1.0603,687.26,51.772
SSN2026000127,LOT0066,PNL00409,OLED_A,CFG_STD,2026-03-27,EQP01,CH2,6,RCP_A,479.18,81.27,55.2,1.4751,417.62,1.0066,702.39,50.381
SSN2026000128,LOT0049,PNL00272,OLED_A,CFG_HIGH,2026-03-05,EQP01,CH1,2,RCP_B,519.69,82.19,61.81,1.6499,464.48,0.9315,690.27,53.083
SSN2026000129,LOT0054,PNL00089,OLED_A,CFG_LOW,2026-02-26,EQP01,CH2,4,RCP_A,513.73,91.16,58.37,1.5233,467.01,1.1851,708.49,51.574
SSN2026000130,LOT0049,PNL00401,OLED_B,CFG_STD,2026-02-07,EQP05,CH2,12,RCP_A,503.0,75.96,58.49,1.6756,431.39,0.9667,673.48,53.094
SSN2026000131,LOT0048,PNL00628,OLED_C,CFG_LOW,2026-03-20,EQP05,CH2,11,RCP_B,493.59,68.34,59.48,1.4098,510.7,0.9505,726.83,49.647
SSN2026000132,LOT0008,PNL00064,OLED_B,CFG_STD,2026-01-12,EQP02,CH2,12,RCP_B,541.13,84.58,63.03,2.1083,483.47,1.0106,696.39,53.399
SSN2026000133,LOT0048,PNL00616,OLED_B,CFG_STD,2026-01-27,EQP04,CH2,1,RCP_A,487.88,65.65,56.9,1.4961,433.1,1.1302,719.03,52.452
SSN2026000134,LOT0068,PNL00291,OLED_C,CFG_HIGH,2026-01-12,EQP02,CH3,8,RCP_A,515.57,79.59,55.75,1.631,429.72,0.8567,731.29,53.775
SSN2026000135,LOT0026,PNL00375,OLED_A,CFG_HIGH,2026-01-26,EQP04,CH1,8,RCP_A,508.2,91.49,62.37,1.4217,447.03,1.1236,717.87,53.357
SSN2026000136,LOT0052,PNL00116,OLED_A,CFG_LOW,2026-02-17,EQP02,CH2,2,RCP_C,509.61,86.63,43.36,1.4729,443.39,0.9571,729.18,51.339
SSN2026000137,LOT0003,PNL00435,OLED_C,CFG_STD,2026-01-31,EQP04,CH3,11,RCP_A,532.31,90.34,56.68,1.5077,498.97,1.0512,660.4,51.186
SSN2026000138,LOT0030,PNL00128,OLED_A,CFG_HIGH,2026-02-07,EQP02,CH1,5,RCP_A,513.99,86.96,53.67,1.3997,489.46,0.9759,698.17,54.888
SSN2026000139,LOT0038,PNL00191,OLED_B,CFG_STD,2026-01-21,EQP05,CH1,12,,496.06,101.28,66.62,1.3664,456.23,1.1894,736.47,50.948
SSN2026000140,LOT0084,PNL00505,OLED_B,CFG_STD,2026-02-01,EQP05,CH1,2,RCP_A,522.7,77.29,57.57,1.4504,478.73,1.04,722.22,52.922
SSN2026000141,LOT0019,PNL00036,OLED_A,CFG_STD,2026-02-14,EQP02,CH1,8,RCP_A,494.9,85.19,56.92,1.5356,483.8,0.9734,754.36,50.775
SSN2026000142,LOT0024,PNL00313,OLED_B,CFG_LOW,2026-01-20,EQP01,CH2,2,RCP_A,507.62,78.5,59.73,1.4292,457.04,1.0059,750.91,47.962
SSN2026000143,LOT0035,PNL00416,OLED_A,CFG_STD,2026-03-26,EQP02,CH1,12,RCP_B,492.31,89.65,56.73,1.5604,469.09,1.0372,717.19,49.168
SSN2026000144,LOT0085,PNL00093,OLED_A,CFG_HIGH,2026-03-22,EQP02,CH2,8,RCP_B,496.47,81.51,57.79,1.3737,475.8,1.0442,703.95,52.271
SSN2026000145,LOT0073,PNL00207,OLED_B,CFG_HIGH,2026-03-20,EQP03,CH4,1,RCP_B,513.82,95.75,60.53,1.5555,472.07,1.0651,687.0,
SSN2026000146,LOT0003,PNL00241,OLED_A,CFG_HIGH,2026-01-01,EQP03,CH4,3,RCP_B,518.89,77.75,57.68,1.7228,427.74,1.0299,698.58,52.278
SSN2026000147,LOT0020,PNL00464,OLED_B,CFG_HIGH,2026-02-14,EQP05,CH1,5,RCP_A,477.76,93.26,57.64,1.6046,431.28,0.9198,700.2,53.677
SSN2026000148,LOT0070,PNL00683,OLED_C,CFG_LOW,2026-03-13,EQP01,CH2,1,RCP_C,507.96,86.75,54.44,1.4596,444.9,1.0028,695.76,52.243
SSN2026000149,LOT0005,PNL00585,OLED_C,CFG_STD,2026-02-01,EQP03,CH2,1,RCP_B,499.89,81.74,53.65,1.6292,430.27,1.0785,687.96,50.027
