SSN,InspectDate,DPU,CD,THK,Taper,Brightness_Drift,Flicker_NG,Defect_Mode
SSN2026000091,2026-02-08,1.0,52.363,770.805,85.457,-0.2414,0,Normal
SSN2026000092,2026-01-08,0.0,49.824,718.703,84.854,0.4306,1,Flicker
SSN2026000093,2026-02-26,2.0,56.569,733.785,85.404,0.1971,0,Normal
SSN2026000094,2026-02-02,7.0,49.715,701.791,85.285,0.8315,0,Brightness
SSN2026000095,2026-04-06,4.0,54.292,,85.869,-0.3029,0,Normal
SSN2026000096,2026-03-18,4.0,52.64,696.499,86.302,0.1734,0,Normal
SSN2026000097,2026-02-10,8.0,55.333,744.419,85.756,0.255,0,Particle
SSN2026000098,2026-03-16,4.0,53.696,725.922,87.017,0.0772,0,Normal
SSN2026000099,2026-02-25,5.0,53.777,712.208,83.907,0.2676,0,Particle
SSN2026000100,2026-02-17,1.0,49.629,722.947,85.241,0.2005,0,Normal
SSN2026000101,2026-03-25,2.0,55.329,697.704,87.989,-0.1671,1,Flicker
SSN2026000102,2026-02-23,1.0,50.586,655.552,87.219,0.4111,0,Normal
SSN2026000103,2026-02-16,0.0,54.64,729.255,89.051,0.3717,0,Normal
SSN2026000104,2026-02-23,3.0,60.083,700.95,85.524,-0.215,0,Normal
SSN2026000105,2026-03-18,3.0,58.711,730.378,87.178,0.5818,0,Brightness
SSN2026000106,2026-03-12,0.0,55.55,715.239,86.531,0.9902,0,Brightness
SSN2026000107,2026-02-20,3.0,62.962,744.6,84.925,-0.1481,0,Normal
SSN2026000108,2026-01-23,3.0,51.829,723.071,88.093,-0.4892,0,Normal
SSN2026000109,2026-03-01,0.0,58.203,653.747,84.246,0.5163,0,Normal
SSN2026000110,2026-02-13,5.0,51.531,730.905,82.509,-0.2043,0,Particle
SSN2026000111,2026-03-31,8.0,56.264,699.589,86.351,0.3912,0,Particle
SSN2026000112,2026-03-28,6.0,,746.704,86.396,-0.1628,0,Particle
SSN2026000113,2026-01-04,4.0,55.501,720.742,87.308,0.2885,0,Normal
SSN2026000114,2026-04-01,4.0,55.534,722.357,87.186,-0.2507,0,Normal
SSN2026000115,2026-03-25,2.0,54.08,694.512,84.343,0.3086,0,Normal
SSN2026000116,2026-03-27,1.0,59.318,690.352,86.816,-0.2279,0,Normal
SSN2026000117,2026-02-21,6.0,54.59,692.952,86.293,0.3874,1,Flicker
SSN2026000118,2026-01-26,4.0,56.485,671.197,86.653,0.5114,0,Normal
SSN2026000119,2026-02-26,6.0,56.243,687.346,86.121,0.1368,0,Particle
SSN2026000120,2026-03-24,4.0,50.608,678.919,83.001,-0.3321,0,Normal
SSN2026000121,2026-02-16,5.0,52.696,660.114,87.556,-0.3919,0,Particle
SSN2026000122,2026-04-06,6.0,54.741,714.661,86.317,0.4807,0,Particle
SSN2026000123,2026-01-26,1.0,57.529,722.818,86.396,-0.3514,0,Normal
SSN2026000124,2026-03-23,2.0,59.554,712.155,86.05,-0.2645,1,Flicker
SSN2026000125,2026-01-13,4.0,55.523,698.749,84.274,-0.2598,0,Normal
SSN2026000126,2026-03-24,2.0,55.313,680.952,85.907,-0.0871,1,Flicker
SSN2026000127,2026-04-02,0.0,,696.481,87.755,-0.0601,0,Normal
SSN2026000128,2026-03-11,2.0,54.943,692.566,85.475,0.301,0,Normal
SSN2026000129,2026-02-28,2.0,53.411,713.15,85.688,-0.2347,0,Normal
SSN2026000130,2026-02-10,4.0,52.976,673.937,87.507,0.1505,0,Normal
SSN2026000131,2026-03-27,5.0,53.352,720.384,86.14,0.2281,0,Particle
SSN2026000132,2026-01-17,8.0,56.44,711.297,83.551,0.3258,1,Flicker
SSN2026000133,2026-01-28,5.0,53.953,718.798,88.297,0.0077,1,Flicker
SSN2026000134,2026-01-13,0.0,53.73,728.262,85.25,-0.1248,0,Normal
SSN2026000135,2026-02-02,2.0,55.97,721.551,86.507,-0.1184,0,Normal
SSN2026000137,2026-02-05,5.0,52.824,663.258,84.191,-0.2146,0,Particle
SSN2026000138,2026-02-10,1.0,52.943,698.515,86.201,0.0526,0,Normal
SSN2026000139,2026-01-23,2.0,56.963,,86.925,-0.2157,0,Normal
SSN2026000141,2026-02-18,1.0,53.418,740.624,86.736,-0.0826,0,Normal
SSN2026000142,2026-01-26,5.0,54.57,759.291,85.097,-0.2993,0,Particle
SSN2026000143,2026-03-27,2.0,51.877,715.251,87.715,0.068,0,Normal
SSN2026000144,2026-03-27,1.0,54.322,705.202,87.827,-0.0174,0,Normal
SSN2026000145,2026-03-25,3.0,56.065,696.094,86.876,0.1641,0,Normal
SSN2026000146,2026-01-07,0.0,52.389,683.176,85.435,0.2681,0,Normal
SSN2026000147,2026-02-19,1.0,55.451,700.685,87.288,0.143,0,Normal
SSN2026000148,2026-03-14,9.0,59.568,704.294,86.064,0.393,0,Particle
SSN2026000149,2026-02-04,6.0,51.892,682.348,85.602,0.1626,0,Particle
SSN2026000150,2026-01-28,5.0,56.955,714.486,86.831,0.2539,0,Particle
SSN2026000151,2026-03-03,1.0,56.668,758.966,86.754,0.2745,0,Normal
SSN2026000152,2026-01-04,1.0,49.847,717.606,87.307,0.2693,0,Normal
SSN2026000153,2026-03-04,5.0,56.996,704.805,86.675,-0.0476,1,Flicker
SSN2026000154,2026-02-11,2.0,58.019,736.247,86.511,0.2851,0,Normal
SSN2026000155,2026-03-07,2.0,56.484,724.113,83.951,-0.0451,0,Normal
SSN2026000156,2026-03-09,4.0,55.368,713.463,84.34,-0.286,0,Normal
SSN2026000157,2026-02-23,2.0,56.954,706.191,86.208,0.0105,0,Normal
SSN2026000158,2026-02-24,3.0,61.669,709.488,85.276,-0.2065,0,Normal
SSN2026000159,2026-01-05,1.0,53.02,716.832,87.654,0.6236,0,Brightness
SSN2026000160,2026-04-05,6.0,52.914,707.787,86.767,0.2725,0,Particle
SSN2026000161,2026-01-14,,49.909,694.928,85.483,0.1768,0,Normal
SSN2026000162,2026-04-04,3.0,60.249,680.408,87.664,-0.1838,0,Normal
SSN2026000163,2026-04-05,2.0,59.776,717.942,85.481,0.518,0,Normal
SSN2026000164,2026-03-13,1.0,53.528,706.09,86.148,0.63,0,Brightness
SSN2026000165,2026-03-16,6.0,52.061,706.806,84.711,0.2414,0,Particle
SSN2026000166,2026-01-09,2.0,55.424,684.9,87.112,0.2189,0,Normal
SSN2026000167,2026-04-02,2.0,58.878,734.817,87.361,-0.194,0,Normal
SSN2026000168,2026-02-23,4.0,51.391,724.053,87.639,0.1605,0,Normal
SSN2026000169,2026-02-03,3.0,50.971,663.814,83.912,0.1502,0,Normal
SSN2026000170,2026-03-06,5.0,60.645,747.613,85.564,0.9935,0,Brightness
SSN2026000171,2026-02-20,4.0,56.229,704.546,87.073,-0.0938,1,Flicker
SSN2026000172,2026-02-06,2.0,56.503,707.536,84.321,0.0531,0,Normal
SSN2026000173,2026-02-02,10.0,53.323,734.944,86.588,-0.1781,0,Particle
SSN2026000174,2026-01-12,2.0,55.098,749.741,86.436,0.172,0,Particle
SSN2026000175,2026-03-24,3.0,51.826,735.76,85.2,0.3581,0,Normal
SSN2026000176,2026-03-08,2.0,52.741,711.677,84.882,0.281,0,Normal
SSN2026000177,2026-01-30,2.0,57.54,678.949,85.849,-0.3426,0,Normal
SSN2026000178,2026-03-08,2.0,48.635,668.684,85.827,-0.4051,0,Normal
SSN2026000179,2026-03-07,0.0,54.979,735.92,85.882,-0.2222,0,Normal
SSN2026000180,2026-01-20,7.0,53.415,743.4,86.959,-0.0699,0,Particle
SSN2026000181,2026-01-22,1.0,56.241,701.513,86.234,0.105,0,Normal
SSN2026000182,2026-01-27,1.0,53.782,701.589,86.656,0.8063,0,Brightness
SSN2026000183,2026-01-15,4.0,51.327,693.267,85.047,0.4206,0,Normal
SSN2026000184,2026-03-21,2.0,51.971,690.415,85.57,-0.066,0,Scratch
SSN2026000185,2026-01-17,3.0,55.417,738.166,85.307,0.1945,0,Normal
SSN2026000186,2026-03-21,5.0,54.829,705.851,88.541,0.063,0,Particle
SSN2026000187,2026-02-23,0.0,51.959,699.318,85.866,0.0465,0,Normal
SSN2026000188,2026-01-13,0.0,56.01,776.841,84.442,0.7498,0,Brightness
SSN2026000189,2026-03-21,1.0,54.197,687.218,83.302,0.1302,0,Normal
SSN2026000190,2026-01-22,11.0,53.481,714.156,86.356,0.137,0,Particle
SSN2026000191,2026-04-02,4.0,48.79,685.258,86.567,-0.2291,0,Normal
SSN2026000192,2026-01-07,1.0,55.929,706.416,85.355,-0.1291,1,Flicker
SSN2026000193,2026-03-01,0.0,51.226,711.715,87.283,0.237,1,Flicker
SSN2026000194,2026-02-01,5.0,55.345,734.347,85.021,-0.2335,0,Normal
SSN2026000195,2026-02-20,0.0,51.405,705.487,86.524,-0.4791,0,Normal
SSN2026000196,2026-03-23,3.0,53.794,709.095,87.065,0.4705,0,Normal
SSN2026000197,2026-03-15,3.0,59.186,709.801,84.562,0.0216,0,Normal
SSN2026000198,2026-01-30,6.0,56.496,695.936,87.02,-0.1488,0,Normal
SSN2026000199,2026-01-08,1.0,56.21,727.975,84.073,0.7418,0,Brightness
SSN2026000200,2026-01-28,4.0,56.563,715.177,85.901,0.037,0,Normal
SSN2026000201,2026-03-15,7.0,54.641,716.058,85.316,0.2648,0,Particle
SSN2026000202,2026-02-23,6.0,52.046,705.876,84.947,0.2542,0,Particle
SSN2026000203,2026-03-13,5.0,54.535,708.956,85.808,-0.1323,0,Particle
SSN2026000204,2026-02-19,4.0,53.938,743.254,86.587,-0.1653,0,Normal
SSN2026000205,2026-02-21,4.0,59.896,739.711,84.289,0.3225,0,Normal
SSN2026000206,2026-01-09,1.0,53.013,736.282,88.055,0.1818,0,Normal
SSN2026000207,2026-01-09,1.0,54.464,716.169,84.683,-0.1713,1,Flicker
SSN2026000208,2026-03-12,0.0,54.352,754.396,86.031,-0.4251,0,Normal
SSN2026000209,2026-01-21,4.0,57.301,694.968,87.529,0.5065,0,Scratch
SSN2026000210,2026-02-03,0.0,56.625,714.196,87.737,-0.0969,1,Flicker
SSN2026000211,2026-02-06,3.0,57.072,741.972,84.057,0.4109,0,Normal
SSN2026000212,2026-02-27,1.0,49.522,728.458,,0.1437,0,Normal
SSN2026000213,2026-03-27,1.0,49.643,692.015,86.26,0.7019,0,Brightness
SSN2026000214,2026-03-16,1.0,49.491,679.756,88.02,-0.0853,0,Normal
SSN2026000215,2026-02-28,9.0,56.791,710.71,85.309,-0.4037,1,Flicker
SSN2026000216,2026-03-18,6.0,56.348,688.766,85.864,0.2432,0,Normal
SSN2026000217,2026-02-18,1.0,56.822,762.475,85.304,0.1626,0,Normal
SSN2026000218,2026-01-18,4.0,54.544,731.472,82.457,0.1913,0,Normal
SSN2026000219,2026-02-17,2.0,53.782,695.961,84.016,-0.1076,0,Normal
SSN2026000220,2026-04-05,3.0,55.798,691.596,84.454,-0.2781,0,Normal
SSN2026000221,2026-03-18,,61.302,699.758,88.032,0.0554,1,Flicker
SSN2026000222,2026-02-02,12.0,58.198,692.795,86.666,0.1042,1,Flicker
SSN2026000223,2026-02-05,0.0,56.076,705.929,87.093,-0.0516,0,Normal
SSN2026000224,2026-03-25,7.0,55.683,729.928,83.773,0.2272,1,Flicker
SSN2026000225,2026-01-16,1.0,58.485,687.399,85.366,0.0643,0,Normal
SSN2026000226,2026-03-28,0.0,51.777,772.5,85.717,0.2577,0,Normal
SSN2026000227,2026-03-09,1.0,54.17,688.135,85.387,-0.3387,0,Normal
SSN2026000228,2026-03-21,2.0,54.627,687.135,86.311,0.3074,0,Normal
SSN2026000229,2026-01-31,3.0,51.452,753.541,85.513,-0.2321,0,Normal
SSN2026000230,2026-03-03,9.0,54.132,741.091,86.224,0.287,0,Particle
SSN2026000231,2026-01-31,1.0,52.123,711.99,85.012,0.0049,0,Normal
SSN2026000232,2026-01-09,4.0,56.502,706.529,87.779,0.7413,0,Brightness
SSN2026000233,2026-02-14,0.0,57.1,716.736,85.921,-0.0654,0,Normal
SSN2026000234,2026-04-05,1.0,59.26,704.388,86.454,-0.0114,0,Normal
SSN2026000235,2026-01-27,2.0,49.97,680.487,86.302,-0.2333,0,Normal
SSN2026000236,2026-01-21,1.0,61.068,650.02,85.742,-0.1581,0,Particle
SSN2026000237,2026-03-29,0.0,49.636,701.686,84.486,0.2205,0,Normal
SSN2026000238,2026-03-24,8.0,50.913,751.311,85.223,0.7571,0,Brightness
SSN2026000239,2026-03-22,11.0,53.931,749.557,84.789,0.2847,0,Particle
SSN2026000240,2026-04-03,,59.253,714.625,86.675,0.1752,0,Normal
SSN2026000241,2026-04-07,0.0,56.161,667.098,87.297,-0.0265,0,Normal
SSN2026000242,2026-03-30,3.0,54.419,717.1,86.528,-0.17,1,Flicker
SSN2026000243,2026-04-01,4.0,52.712,723.029,85.158,-0.1701,0,Normal
SSN2026000244,2026-03-15,0.0,51.838,724.503,85.673,-0.5161,0,Normal
SSN2026000245,2026-02-05,5.0,58.182,648.824,86.224,0.2364,0,Particle
SSN2026000246,2026-02-18,3.0,56.846,787.35,85.182,0.6733,0,Brightness
SSN2026000247,2026-02-11,3.0,58.163,737.361,88.31,0.617,0,Brightness
SSN2026000248,2026-02-18,2.0,55.934,704.033,85.74,0.294,0,Normal
SSN2026000249,2026-03-08,2.0,47.827,684.699,85.78,-0.2205,0,Normal
SSN2026000250,2026-01-23,0.0,50.063,730.623,,0.2293,0,Normal
SSN2026000251,2026-01-03,7.0,57.477,717.995,86.07,-0.3569,1,Particle
SSN2026000252,2026-03-02,5.0,53.666,705.169,86.368,-0.2464,0,Normal
SSN2026000253,2026-04-03,5.0,52.602,728.262,83.956,0.0436,0,Particle
SSN2026000254,2026-03-23,1.0,52.592,714.45,87.344,0.4947,1,Flicker
SSN2026000255,2026-01-04,6.0,57.764,726.985,86.346,0.1135,1,Flicker
SSN2026000257,2026-02-24,2.0,55.525,718.244,84.311,0.0014,0,Normal
SSN2026000258,2026-02-14,4.0,52.687,726.191,85.301,0.0441,1,Flicker
SSN2026000259,2026-03-09,4.0,55.061,743.688,86.384,-0.3516,0,Normal
SSN2026000260,2026-02-12,2.0,50.773,681.307,87.183,0.6296,0,Brightness
SSN2026000261,2026-03-26,4.0,55.845,686.032,85.366,0.1454,0,Normal
SSN2026000262,2026-03-28,0.0,49.781,715.534,85.514,-0.0833,0,Normal
SSN2026000263,2026-02-28,2.0,52.777,680.554,87.413,0.2164,1,Flicker
SSN2026000264,2026-02-14,7.0,54.055,709.543,84.008,-0.1268,0,Particle
SSN2026000265,2026-03-01,3.0,60.794,732.377,86.225,0.0726,0,Normal
SSN2026000266,2026-03-25,1.0,50.582,702.016,85.124,-0.1625,0,Normal
SSN2026000267,2026-02-01,1.0,51.449,657.828,86.188,0.6506,1,Brightness
SSN2026000268,2026-03-26,4.0,56.458,696.511,88.237,0.2318,0,Normal
SSN2026000269,2026-03-01,2.0,60.193,716.193,85.858,-0.3142,0,Normal
SSN2026000270,2026-01-11,2.0,55.537,724.16,85.689,-0.2164,0,Normal
SSN2026000271,2026-03-12,7.0,57.156,723.356,85.456,0.1661,0,Particle
SSN2026000272,2026-01-21,3.0,55.467,727.633,85.337,0.1115,0,Normal
SSN2026000273,2026-02-18,6.0,52.409,708.394,85.782,-0.0171,0,Normal
SSN2026000274,2026-04-02,1.0,54.965,682.382,87.819,0.0035,0,Normal
SSN2026000275,2026-03-14,3.0,52.64,702.307,84.959,0.3542,1,Flicker
SSN2026000276,2026-03-09,3.0,57.651,700.56,88.764,-0.4502,0,Normal
SSN2026000277,2026-01-08,4.0,50.75,701.879,83.529,0.3304,0,Normal
SSN2026000278,2026-03-22,1.0,57.405,718.104,83.247,0.1255,0,Normal
SSN2026000279,2026-02-03,1.0,55.056,725.279,84.418,0.2835,1,Flicker
SSN2026000281,2026-03-29,1.0,48.529,708.508,86.323,-0.3858,0,Normal
SSN2026000283,2026-02-03,3.0,57.306,719.701,85.917,-0.0518,0,Normal
SSN2026000284,2026-01-16,2.0,54.547,725.543,87.248,0.3762,0,Normal
SSN2026000285,2026-03-03,2.0,56.467,728.485,84.849,0.0872,0,Normal
SSN2026000286,2026-03-27,3.0,60.153,696.597,82.992,0.2078,1,Flicker
SSN2026000287,2026-02-17,2.0,55.614,663.045,86.448,0.4335,0,Normal
SSN2026000288,2026-03-27,2.0,52.114,697.44,86.038,-0.0052,1,Flicker
SSN2026000289,2026-04-02,2.0,55.07,734.469,87.187,0.1823,0,Normal
SSN2026000290,2026-03-26,5.0,56.391,699.574,86.969,0.2998,1,Flicker
SSN2026000291,2026-01-16,1.0,56.695,711.848,84.03,0.6067,0,Brightness
SSN2026000292,2026-01-22,5.0,54.099,683.815,88.546,0.5845,0,Brightness
SSN2026000293,2026-02-01,4.0,53.597,657.184,84.137,0.5937,0,Brightness
SSN2026000294,2026-03-01,3.0,57.201,742.319,86.786,-0.0665,0,Normal
SSN2026000295,2026-03-21,2.0,54.706,690.528,87.408,0.4006,0,Normal
SSN2026000296,2026-02-02,2.0,55.772,705.659,87.104,0.3662,0,Normal
SSN2026000297,2026-03-07,1.0,59.579,691.08,84.633,0.1768,0,Normal
SSN2026000298,2026-01-19,1.0,51.758,739.018,84.808,,0,Normal
SSN2026000299,2026-02-19,2.0,57.553,726.71,88.33,0.7593,0,
SSN2026000300,2026-03-19,2.0,51.541,683.746,87.59,0.0246,0,Normal
SSN2026000301,2026-02-08,2.0,55.535,738.963,88.773,0.4305,0,Normal
SSN2026000302,2026-01-16,3.0,57.355,695.005,89.538,0.1811,0,Normal
SSN2026000303,2026-02-14,4.0,52.52,697.454,83.892,-0.0365,0,Normal
SSN2026000305,2026-03-27,0.0,51.117,685.059,85.652,-0.0069,0,Normal
SSN2026000306,2026-03-02,3.0,54.417,678.608,84.83,0.3038,0,Normal
SSN2026000307,2026-03-08,5.0,57.188,724.149,86.519,0.5887,0,Brightness
SSN2026000308,2026-02-08,4.0,53.168,700.022,83.666,-0.4875,0,Normal
SSN2026000309,2026-03-31,3.0,54.611,728.68,85.623,-0.0882,0,Normal
SSN2026000310,2026-03-23,6.0,52.262,725.041,84.671,0.1456,0,Normal
SSN2026000311,2026-04-01,0.0,56.771,723.628,86.641,0.3077,0,Normal
SSN2026000312,2026-03-24,4.0,53.703,657.054,86.262,0.5771,1,Brightness
SSN2026000313,2026-02-20,2.0,55.003,686.934,85.166,0.1046,0,Normal
SSN2026000314,2026-03-30,5.0,54.566,721.828,85.888,0.1191,0,Particle
SSN2026000315,2026-03-02,1.0,52.389,686.057,86.005,0.0835,1,Flicker
SSN2026000316,2026-03-03,1.0,52.354,721.086,84.762,0.0444,0,Normal
SSN2026000317,2026-03-08,8.0,52.75,661.465,85.239,0.4799,0,Particle
SSN2026000318,2026-01-23,0.0,52.786,717.125,86.26,0.5873,0,Brightness
SSN2026000320,2026-02-05,2.0,55.047,732.788,85.702,-0.0951,1,Flicker
SSN2026000321,2026-03-07,2.0,50.824,651.914,83.681,-0.2193,1,Flicker
SSN2026000322,2026-03-22,1.0,53.954,726.695,,0.5498,0,Normal
SSN2026000323,2026-01-17,4.0,57.756,756.967,87.936,0.1016,0,Normal
SSN2026000324,2026-01-31,7.0,52.65,778.657,86.576,0.385,0,Particle
SSN2026000325,2026-03-31,3.0,59.21,726.776,83.626,-0.028,0,Normal
SSN2026000326,2026-02-08,4.0,53.2,678.141,87.806,0.5831,0,Brightness
SSN2026000327,2026-03-07,7.0,57.715,720.312,85.913,0.2599,0,Particle
SSN2026000328,2026-02-26,0.0,59.269,759.612,83.931,-0.3494,0,Normal
SSN2026000329,2026-03-21,3.0,56.119,704.678,86.012,-0.1128,0,Normal
SSN2026000330,2026-02-17,4.0,52.294,734.662,87.298,-0.2061,0,Normal
SSN2026000331,2026-02-12,5.0,54.553,696.322,85.94,0.2435,1,Flicker
SSN2026000332,2026-01-07,2.0,58.034,718.052,84.503,0.1288,0,Normal
SSN2026000333,2026-02-19,2.0,52.374,647.774,85.211,-0.0524,0,Normal
SSN2026000334,2026-02-25,,56.931,687.589,84.659,0.544,1,Flicker
SSN2026000335,2026-03-09,3.0,52.295,714.761,83.241,0.16,1,Flicker
